Ville,Nombre d'habitants,Type d'agglomeration
Paris,2145906,Métropole
Marseille,870321,Métropole
Lyon,522228,Métropole
Toulouse,498003,Métropole
Nice,343477,Métropole
Nantes,320732,Métropole
Montpellier,299096,Métropole
Strasbourg,290576,Métropole
Bordeaux,259809,Métropole
Lille,236234,Métropole
Rennes,222485,Métropole
Reims,180318,Grande Ville
Toulon,179659,Grande Ville
Saint-Étienne,174082,Grande Ville
Le Havre,165830,Grande Ville
Dijon,159106,Grande Ville
Grenoble,158240,Grande Ville
Angers,155876,Grande Ville
Villeurbanne,154781,Grande Ville
Saint-Denis,153001,Grande Ville
Nîmes,147496,Grande Ville
Clermont-Ferrand,147284,Grande Ville
Aix-en-Provence,147122,Grande Ville
Le Mans,145155,Grande Ville
Brest,139456,Grande Ville
Tours,137850,Grande Ville
Amiens,134167,Grande Ville
Annecy,131766,Grande Ville
Limoges,130592,Grande Ville
Boulogne-Billancourt,120911,Grande Ville
Metz,120211,Grande Ville
Besançon,118258,Grande Ville
Perpignan,118032,Grande Ville
Orléans,117026,Grande Ville
Rouen,114187,Grande Ville
Saint-Denis,113116,Grande Ville
Montreuil,111367,Grande Ville
Argenteuil,108567,Grande Ville
Mulhouse,108038,Grande Ville
Caen,107250,Grande Ville
Nancy,104403,Grande Ville
Saint-Paul,104301,Grande Ville
Tourcoing,99165,Grande Ville
Roubaix,98066,Grande Ville
Nanterre,95782,Grande Ville
Vitry-sur-Seine,95649,Grande Ville
Créteil,92566,Grande Ville
Avignon,90597,Grande Ville
Poitiers,90033,Grande Ville
Aubervilliers,89401,Grande Ville
Asnières-sur-Seine,88004,Grande Ville
Colombes,86775,Grande Ville
Dunkerque,86545,Grande Ville
Aulnay-sous-Bois,86485,Grande Ville
Saint-Pierre,83930,Grande Ville
Versailles,83583,Grande Ville
Courbevoie,82074,Grande Ville
Le Tampon,80778,Grande Ville
Béziers,78683,Grande Ville
Rueil-Malmaison,78265,Grande Ville
Cherbourg-en-Cotentin,77789,Grande Ville
